"datazone","avg_median_price"
"S01000834",153693.194805195
"S01000835",72396.5517241379
"S01000836",64100
"S01000837",72043.1034482759
"S01000838",93400
"S01000839",103879.573529412
"S01000840",121767.5
"S01000841",105610.277777778
"S01000842",135608.695652174
"S01000843",121136.842105263
"S01000844",108512.47311828
"S01000845",145352.941176471
"S01000846",76854.8387096774
"S01000847",83903.8461538462
"S01000848",161138.888888889
"S01000849",141224.390243902
"S01000850",73943.5483870968
"S01000851",105638.392857143
"S01000852",94632.3529411765
"S01000853",86890
"S01000854",83421.0526315789
"S01000855",99693.3043478261
"S01000856",104332.8
"S01000857",120178.260869565
"S01000858",125030.303030303
"S01000859",161794.943820225
"S01000860",73571.4285714286
"S01000861",123362.068965517
"S01000862",105979.166666667
"S01000863",94592.1052631579
"S01000864",165531.578947368
"S01000865",110965.853658537
"S01000866",93338.4545454545
"S01000867",101571.265306122
"S01000868",80852.9411764706
"S01000869",73212.8571428571
"S01000870",92961.2962962963
"S01000871",131750
"S01000872",103714.285714286
"S01000873",164009.723502304
"S01000874",84923.0769230769
"S01000875",188678.523809524
"S01000876",81983.0508474576
"S01000877",92988.3720930233
"S01000878",133331.666666667
"S01000879",278262.13592233
"S01000880",195472.641509434
"S01000881",85416.1290322581
"S01000882",86270.8333333333
"S01000883",82086.9565217391
"S01000884",104470.238095238
"S01000885",181000
"S01000886",116666.666666667
"S01000887",143974.333333333
"S01000888",82051.282051282
"S01000889",93662.0833333333
"S01000890",87151.5151515152
"S01000891",334512.689655172
"S01000892",245836.956521739
"S01000893",183647.727272727
"S01000894",116341.379310345
"S01000895",132840.277777778
"S01000896",192714.285714286
"S01000897",136510.869565217
"S01000898",99913.0434782609
"S01000899",104541.666666667
"S01000900",153388.888888889
"S01000901",130954.545454545
"S01000902",164401.238095238
"S01000903",133201.923076923
"S01000904",146522.727272727
"S01000905",257500
"S01000906",130529.411764706
"S01000907",111339.285714286
"S01000908",139474.647058824
"S01000909",166858.333333333
"S01000910",111287.878787879
"S01000911",198205.882352941
"S01000912",123210.526315789
"S01000913",149173.224489796
"S01000914",225268.656716418
"S01000915",180446.96969697
"S01000916",154222.222222222
"S01000917",135500
"S01000918",115078.125
"S01000919",100453.125
"S01000920",177077.083333333
"S01000921",106433.333333333
"S01000922",143533.793103448
"S01000923",96557.4857142857
"S01000924",95782.8076923077
"S01000925",135245.098039216
"S01000926",113576.388888889
"S01000927",87495.7142857143
"S01000928",128650.943396226
"S01000929",62409.0909090909
"S01000930",72500
"S01000931",90760
"S01000932",94249.1764705882
"S01000933",88281.25
"S01000934",70763.2352941177
"S01000935",84567.5675675676
"S01000936",94232.5581395349
"S01000937",114587.5
"S01000938",96237.1794871795
"S01000939",124283.783783784
"S01000940",117508.620689655
"S01000941",87585.1851851852
"S01000942",130744.565217391
"S01000943",146030.612244898
"S01000944",131229.166666667
"S01000945",123461.538461538
"S01000946",129896.551724138
"S01000947",101096.153846154
"S01000948",170065.789473684
"S01000949",159962.5
"S01000950",229755.555555556
"S01000951",111871.714285714
"S01000952",172000
"S01000953",162457.446808511
"S01000954",151757.8125
"S01000955",168004
"S01000956",78875
"S01000957",149327.25
"S01000958",104857.142857143
"S01000959",103487.179487179
"S01000960",133857.142857143
"S01000961",110724.489795918
"S01000962",106823.095238095
"S01000963",92902.7777777778
"S01000964",205442.62295082
"S01000965",71846.1538461538
"S01000966",82551.4705882353
"S01000967",89869.5652173913
"S01000968",202241.735294118
"S01000969",109519.230769231
"S01000970",93287.5
"S01000971",87833.3333333333
"S01000972",131475.609756098
"S01000973",91787.6140350877
"S01000974",143029.411764706
"S01000975",170217.391304348
"S01000976",224761.363636364
"S01000977",171815.833333333
"S01000978",126365.625
"S01000979",117303.571428571
"S01000980",97807.7948717949
"S01000981",200345.714285714
"S01000982",186071.428571429
"S01000983",110671.875
"S01000984",212143.939393939
"S01000985",109108.695652174
"S01000986",168620.37037037
"S01000987",157312.5
"S01000988",193181.818181818
"S01000989",157211.5
"S01000990",142918.604651163
"S01000991",169000
"S01000992",141541.666666667
"S01000993",130416.666666667
"S01000994",113670.454545455
"S01000995",135955.612244898
"S01000996",131450.030769231
"S01000997",144246.695652174
"S01000998",97808.5142857143
"S01000999",123222.222222222
"S01001000",102127.777777778
"S01001001",159754.347826087
"S01001002",95826.0869565217
"S01001003",128456.140350877
"S01001004",156981.707317073
"S01001005",196022.707317073
"S01001006",118488.888888889
"S01001007",111812.686567164
"S01001008",105993.055555556
"S01001009",84359.9047619048
"S01001010",110294.090909091
"S01001011",171014.526315789
"S01001012",133186.046511628
"S01001013",101081.818181818
"S01001014",68468.2727272727
"S01001015",118107.291666667
"S01001016",146705
"S01001017",92984.375
"S01001018",84609.125
"S01001019",69619.3333333333
"S01001020",100468.75
"S01001021",136980.769230769
"S01001022",111909.090909091
"S01001023",184117.647058824
"S01001024",160655.37414966
"S01001025",146895.700787402
"S01001026",144137.90625
"S01001027",129583.333333333
"S01001028",79500
"S01001029",84071.4285714286
"S01001030",191228.070175439
"S01001031",87744.6428571429
"S01001032",79947.3684210526
"S01001033",77000
"S01001034",64919.2307692308
"S01001035",89571.4285714286
"S01001036",86792
"S01001037",80542.7941176471
"S01001038",150298.245614035
"S01001039",177153.846153846
"S01001040",150831.04
"S01001041",175869.565217391
"S01001042",125430.379746835
"S01001043",109290.322580645
"S01001044",142980.769230769
"S01001045",107424.242424242
"S01001046",190465
"S01001047",180283.018867925
"S01001048",118432.432432432
"S01001049",93833.3333333333
"S01001050",152000
"S01001051",92866.6666666667
"S01001052",99167.6470588235
"S01001053",146628.787878788
"S01001054",96777.7777777778
"S01001055",120552.314814815
"S01001056",83982.1428571429
"S01001057",151538.461538462
"S01001058",82804.2857142857
"S01001059",114285.714285714
"S01001060",96447.3684210526
"S01001061",108763.157894737
"S01001062",180216.52173913
"S01001063",166702.631578947
"S01001064",83887.0967741935
"S01001065",84000
"S01001066",186050.833333333
"S01001067",219843.75
"S01001068",157090.909090909
"S01001069",177380
"S01001070",153159.090909091
"S01001071",166685
"S01001072",176119.047619048
"S01001073",132639
"S01001074",215305.952380952
"S01001075",105885.416666667
"S01001076",145304.827586207
"S01001077",151774.193548387
"S01001078",154022.222222222
"S01001079",241996.588235294
"S01001080",131250
"S01001081",191838.709677419
"S01001082",106326.029850746
"S01001083",142722.222222222
"S01001084",180559.273972603
"S01001085",87240
"S01001086",71791.6666666667
"S01001087",82761.1111111111
"S01001088",81375
"S01001089",108300
"S01001090",176348.421686747
"S01001091",123827.137254902
"S01001092",148908.139534884
"S01001093",163464.071428571
"S01001094",200017.857142857
"S01001095",125085.714285714
"S01001096",136887.5
"S01001097",183729.166666667
"S01001098",255292.682926829
"S01001099",82554.2168674699
"S01001100",112358.208955224
"S01001101",125665.688888889
"S01001102",110035.388888889
"S01001103",177150.615384615
"S01001104",81083.914893617
"S01001105",236259.166666667
"S01001106",210547.058823529
"S01001107",99251.1627906977
"S01001108",150424.908424908
