"datazone","median_price","number_of_sales"
"S01002558",86500,2
"S01002559",124997,6
"S01002560",135000,1
"S01002561",80000,3
"S01002562",1e+05,8
"S01002563",141250,6
"S01002564",168279,4
"S01002565",93000,13
"S01002566",155000,9
"S01002567",193000,81
"S01002568",130750,8
"S01002569",175000,5
"S01002570",137000,7
"S01002571",93000,7
"S01002572",254142,14
"S01002573",249500,2
"S01002574",74625,6
"S01002575",85500,10
"S01002576",124000,7
"S01002577",60250,5
"S01002578",231275,16
"S01002579",121750,14
"S01002580",80000,6
"S01002581",210500,14
"S01002582",75000,9
"S01002583",93000,5
"S01002584",134000,13
"S01002585",67750,10
"S01002586",93500,4
"S01002587",112250,16
"S01002588",170000,5
"S01002589",220000,7
"S01002590",180000,13
"S01002591",63500,6
"S01002592",123000,10
"S01002593",90250,4
"S01002594",157000,12
"S01002595",78750,6
"S01002596",123125,4
"S01002597",82000,3
"S01002598",120000,12
"S01002599",84000,4
"S01002600",153500,18
"S01002601",83000,7
"S01002602",107500,6
"S01002603",87135,11
"S01002604",136250,8
"S01002605",85000,7
"S01002606",114750,2
"S01002607",91000,7
"S01002608",152250,8
"S01002609",82250,6
"S01002610",75750,6
"S01002611",105000,12
"S01002612",165675,8
"S01002613",345500,6
"S01002614",176000,16
"S01002615",88000,8
"S01002616",199250,2
"S01002617",75000,6
"S01002618",72500,5
"S01002619",150000,8
"S01002620",75000,9
"S01002621",130000,3
"S01002622",178500,211
"S01002623",146738,24
"S01002624",132225,10
"S01002625",124950,7
"S01002626",80000,2
"S01002627",123500,14
"S01002628",237500,6
"S01002629",148498,12
"S01002630",112556,18
"S01002631",144000,14
"S01002632",85000,5
"S01002633",1e+05,10
"S01002634",197500,10
"S01002635",167000,9
"S01002636",1e+05,5
"S01002637",84000,8
"S01002638",77000,6
"S01002639",173750,6
"S01002640",136000,15
"S01002641",120000,13
"S01002642",88000,7
"S01002643",85000,5
"S01002644",165000,7
"S01002645",80000,3
"S01002646",84250,14
"S01002647",71000,2
"S01002648",189500,14
"S01002649",77500,5
"S01002650",170550,11
"S01002651",80000,5
"S01002652",60500,4
"S01002653",65000,13
"S01002654",101500,10
"S01002655",64500,9
"S01002656",85000,7
"S01002657",150600,12
"S01002658",92000,29
"S01002659",174000,10
"S01002660",110000,5
"S01002661",95000,9
"S01002662",171000,18
"S01002663",135000,9
"S01002664",145500,8
"S01002665",98000,5
"S01002666",151500,20
"S01002667",71000,5
"S01002668",249950,9
"S01002669",87500,19
"S01002670",165500,6
"S01002671",89000,23
"S01002672",61375,6
"S01002673",115000,6
"S01002674",108000,6
"S01002675",140000,14
"S01002676",157750,8
"S01002677",73500,11
"S01002678",187625,12
"S01002679",79975,12
"S01002680",80000,17
"S01002681",130000,8
"S01002682",63000,3
"S01002683",159995,7
"S01002684",100500,14
"S01002685",64325,10
"S01002686",202565,28
"S01002687",90000,15
"S01002688",146275,6
"S01002689",177000,15
"S01002690",125000,7
"S01002691",108300,12
"S01002692",119500,9
"S01002693",93998,4
"S01002694",68000,9
"S01002695",85311,3
"S01002696",89950,7
"S01002697",148750,8
"S01002698",107500,9
"S01002699",62250,2
"S01002700",42525,4
"S01002701",119500,13
"S01002702",61000,5
"S01002703",128000,25
"S01002704",77500,8
"S01002705",81000,10
"S01002706",112500,4
"S01002707",70000,3
"S01002708",174950,11
"S01002709",68000,7
"S01002710",114000,9
"S01002711",80000,11
"S01002712",77000,8
"S01002713",78000,3
"S01002714",130000,7
"S01002715",80000,5
"S01002716",173000,9
"S01002717",110000,15
"S01002718",80000,7
"S01002719",74000,6
"S01002720",210000,5
"S01002721",65000,9
"S01002722",64000,14
"S01002723",77000,3
"S01002724",73000,7
"S01002725",89000,8
"S01002726",86000,17
"S01002727",111750,14
"S01002728",67000,5
"S01002729",160000,9
"S01002730",56250,12
"S01002731",60000,7
"S01002732",76750,10
"S01002733",180000,5
"S01002734",84000,7
"S01002735",89000,32
"S01002737",71500,15
"S01002738",88500,6
"S01002739",153000,9
"S01002740",144998,4
"S01002741",63750,17
"S01002742",90000,10
"S01002743",115500,7
"S01002744",162550,10
"S01002745",70000,4
"S01002746",132500,6
"S01002747",69500,6
"S01002748",76250,24
"S01002750",72500,7
"S01002751",76000,6
"S01002752",60000,1
"S01002753",125500,4
"S01002754",120000,7
"S01002755",60000,3
"S01002756",124530,3
"S01002757",70000,3
"S01002758",69000,5
"S01002759",95000,9
"S01002760",68500,6
"S01002761",66475,12
"S01002762",64500,4
"S01002763",73000,3
"S01002764",79995,5
"S01002765",95000,13
"S01002766",51000,5
"S01002767",92975,6
"S01002768",76500,11
"S01002769",86000,7
"S01002770",53500,4
"S01002771",73000,4
"S01002772",135772,10
"S01002773",142475,14
"S01002774",62500,6
"S01002775",69000,3
"S01002776",150250,11
"S01002777",62000,9
"S01002778",60000,7
"S01002779",59000,7
"S01002780",69500,4
"S01002781",87000,12
"S01002782",79950,9
"S01002783",174950,29
"S01002784",56000,2
"S01002785",115000,3
"S01002786",141250,8
"S01002787",108000,7
"S01002788",98000,5
"S01002789",125000,15
"S01002790",60000,7
"S01002791",60000,1
"S01002792",154000,32
"S01002793",66000,5
"S01002794",80000,13
"S01002795",117000,3
"S01002796",136500,6
"S01002797",105000,5
"S01002798",76500,4
"S01002799",73250,4
"S01002800",120000,14
"S01002801",78000,1
"S01002802",116000,5
"S01002803",85000,7
"S01002804",96000,5
"S01002805",89500,4
"S01002806",123500,46
"S01002807",61000,4
"S01002808",74000,4
"S01002809",83500,10
"S01002810",89500,12
"S01002811",120000,16
"S01002812",190000,3
"S01002813",62500,4
"S01002814",67950,5
"S01002815",62000,5
"S01002816",70000,2
"S01002817",158800,2
"S01002818",85050,4
"S01002819",112250,2
"S01002820",60000,5
"S01002821",148000,11
"S01002822",64973,8
"S01002823",39950,5
"S01002824",97000,15
"S01002825",47250,4
"S01002826",67000,11
"S01002827",78000,5
"S01002828",161850,10
"S01002829",59000,7
"S01002830",88850,10
"S01002831",134995,26
"S01002832",78498,4
"S01002833",185000,7
"S01002834",90000,3
"S01002835",57750,14
"S01002836",82350,3
"S01002837",40000,2
"S01002838",76000,3
"S01002839",67000,3
"S01002840",78125,4
"S01002841",155000,23
"S01002842",52000,6
"S01002843",57500,6
"S01002844",94998,10
"S01002845",58800,11
"S01002846",201500,8
"S01002847",81248,12
"S01002848",69000,6
"S01002849",69000,3
"S01002850",47000,7
"S01002851",426000,10
"S01002852",78150,10
"S01002853",40000,3
"S01002854",71500,8
"S01002855",78500,2
"S01002856",41000,6
"S01002857",103000,7
"S01002858",70000,1
"S01002859",63250,2
"S01002860",66000,12
"S01002861",71500,10
"S01002862",73500,5
"S01002863",80000,4
"S01002864",66000,2
"S01002865",95000,8
"S01002866",72500,6
"S01002867",114500,4
"S01002868",75000,3
"S01002869",90000,7
"S01002870",84498,10
"S01002871",66000,10
"S01002872",84500,5
"S01002873",73750,12
"S01002874",49500,6
"S01002875",66500,4
"S01002876",83000,3
"S01002877",54995,11
"S01002878",83000,5
"S01002879",82750,4
"S01002880",173750,4
"S01002881",60000,16
"S01002882",65000,8
"S01002883",85575,12
"S01002884",70500,14
"S01002885",177950,29
"S01002886",124250,14
"S01002887",68250,4
"S01002888",320000,11
"S01002889",60998,6
"S01002890",62500,8
"S01002891",87000,9
"S01002892",65000,8
"S01002893",91998,16
"S01002894",207000,9
"S01002895",70000,7
"S01002896",107500,4
"S01002897",57998,14
"S01002898",113750,12
"S01002899",187500,6
"S01002900",58250,6
"S01002901",80000,3
"S01002902",139500,10
"S01002903",60000,13
"S01002904",117950,5
"S01002905",78750,4
"S01002906",61500,7
"S01002907",112500,12
"S01002908",151500,10
"S01002909",163500,8
"S01002910",82500,10
"S01002911",81000,5
"S01002912",162000,11
"S01002913",135000,9
"S01002914",72998,2
"S01002915",77000,7
"S01002916",60500,5
"S01002917",175000,12
"S01002918",180000,25
"S01002919",68000,5
"S01002920",140000,11
"S01002921",157000,15
"S01002922",107500,6
"S01002923",152150,10
"S01002924",105000,4
"S01002925",178500,31
"S01002926",65000,3
"S01002927",46125,2
"S01002928",180000,11
"S01002929",75000,5
"S01002930",55000,1
"S01002931",104000,4
"S01002932",138000,13
"S01002933",110000,19
"S01002934",78750,4
"S01002935",249995,3
"S01002936",192500,4
"S01002937",135500,12
"S01002938",107500,14
"S01002939",176288,2
"S01002940",215000,8
"S01002941",195000,9
"S01002942",186509,6
"S01002943",165000,12
"S01002944",176000,9
"S01002945",140000,8
"S01002946",150550,16
"S01002947",147500,4
"S01002948",249500,6
"S01002949",187500,4
"S01002950",156500,6
"S01002951",232500,24
"S01002952",175000,7
"S01002953",215000,10
"S01002954",96375,6
"S01002955",170500,9
"S01002956",155000,5
"S01002957",106000,11
"S01002958",265000,4
"S01002959",185118,11
"S01002960",240000,9
"S01002961",210000,16
"S01002962",120998,8
"S01002963",185000,7
"S01002964",205000,6
"S01002965",132250,10
"S01002966",125000,3
"S01002967",176750,8
"S01002968",204250,16
"S01002969",170000,18
"S01002970",1e+05,14
"S01002971",196998,14
"S01002972",125000,19
"S01002973",153000,15
"S01002974",210000,13
"S01002975",128950,10
"S01002976",84000,11
"S01002977",166000,12
"S01002978",168000,23
"S01002979",125000,11
"S01002980",141000,5
"S01002981",287500,10
"S01002982",265000,7
"S01002983",180000,5
"S01002984",256750,9
"S01002985",305050,6
"S01002986",170000,5
"S01002987",182500,5
"S01002988",256000,8
"S01002989",168150,11
"S01002990",255500,13
"S01002991",465000,12
"S01002992",295000,7
"S01002993",404000,6
"S01002994",331065,14
"S01002995",245000,6
"S01002996",302500,16
"S01002997",295000,7
"S01002998",75000,9
"S01002999",380000,9
"S01003000",145000,7
"S01003001",102500,7
"S01003002",118000,7
"S01003003",260250,6
"S01003004",153750,2
"S01003005",230000,11
"S01003006",185000,17
"S01003007",167000,1
"S01003008",117500,3
"S01003009",102000,3
"S01003010",235500,2
"S01003011",95833,5
"S01003012",165000,10
"S01003013",779000,1
"S01003014",172763,6
"S01003015",145000,7
"S01003016",236000,7
"S01003017",62000,13
"S01003018",180000,13
"S01003019",95000,6
"S01003020",150000,5
"S01003021",160000,11
"S01003022",123000,13
"S01003023",188000,7
"S01003024",141000,4
"S01003025",192500,10
"S01003026",115050,17
"S01003027",122500,17
"S01003029",108000,5
"S01003033",62500,3
"S01003034",105000,12
"S01003035",98498,2
"S01003036",65998,2
"S01003037",220000,29
"S01003038",150000,9
"S01003039",117551,6
"S01003040",82500,5
"S01003041",138000,5
"S01003042",48000,2
"S01003044",105000,1
"S01003045",52498,2
"S01003046",82500,6
"S01003047",63750,6
"S01003049",52000,3
"S01003050",170000,7
"S01003051",122500,6
"S01003052",80000,3
"S01003053",120000,3
"S01003054",80750,10
"S01003055",76500,7
"S01003057",84000,8
"S01003058",151750,8
"S01003059",194000,25
"S01003060",117500,4
"S01003061",145978,4
"S01003062",114250,11
"S01003063",68679,10
"S01003064",61500,2
"S01003065",115000,17
"S01003066",169995,7
"S01003067",136750,6
"S01003068",196000,15
"S01003069",87000,3
"S01003070",76000,6
"S01003071",208500,16
"S01003072",76250,2
"S01003073",82500,18
"S01003074",325000,7
"S01003075",78000,9
"S01003076",72000,1
"S01003077",71600,13
"S01003078",198000,7
"S01003079",238000,12
"S01003080",74000,11
"S01003081",130000,9
"S01003082",84000,3
"S01003083",40000,9
"S01003084",60000,2
"S01003085",125000,11
"S01003086",260000,9
"S01003087",82250,10
"S01003088",147000,1
"S01003089",195000,13
"S01003090",88750,8
"S01003091",84500,4
"S01003092",111000,13
"S01003093",71000,8
"S01003094",145000,12
"S01003095",526000,6
"S01003096",159080,6
"S01003097",45000,3
"S01003098",87250,30
"S01003100",84050,14
"S01003101",84000,1
"S01003102",197500,5
"S01003103",2e+05,5
"S01003104",92000,10
"S01003105",85000,13
"S01003106",266000,14
"S01003107",144250,2
"S01003108",105000,9
"S01003109",235000,13
"S01003110",153307,10
"S01003111",82000,3
"S01003112",195000,11
"S01003113",162000,6
"S01003114",98750,9
"S01003115",170250,14
"S01003116",83500,27
"S01003117",103500,17
"S01003119",76000,4
"S01003120",155000,17
"S01003121",60500,2
"S01003122",75000,3
"S01003123",108500,10
"S01003124",119500,27
"S01003125",118500,25
"S01003126",87000,3
"S01003127",85000,12
"S01003128",89823,10
"S01003129",121000,27
"S01003130",90000,7
"S01003131",115000,18
"S01003133",185000,31
"S01003134",51250,2
"S01003135",63750,5
"S01003136",128750,20
"S01003137",124500,12
"S01003138",91000,11
"S01003139",128475,34
"S01003140",50000,1
"S01003141",135000,38
"S01003142",134498,30
"S01003143",137500,14
"S01003144",70000,3
"S01003145",73600,3
"S01003146",115000,23
"S01003147",85000,11
"S01003148",73500,2
"S01003149",93500,24
"S01003151",66000,4
"S01003152",125000,13
"S01003153",229550,8
"S01003154",105000,21
"S01003155",144000,22
"S01003156",127500,22
"S01003157",109000,28
"S01003159",77550,2
"S01003160",63500,1
"S01003161",78000,3
"S01003162",68750,4
"S01003163",165000,17
"S01003164",122000,12
"S01003165",83500,6
"S01003166",115000,23
"S01003167",78500,1
"S01003168",122809,26
"S01003169",140000,29
"S01003170",210000,13
"S01003171",207500,14
"S01003172",82500,10
"S01003173",121251,8
"S01003174",58500,16
"S01003176",152623,20
"S01003177",210000,17
"S01003178",125000,15
"S01003179",82000,12
"S01003180",130500,2
"S01003181",65000,5
"S01003182",88000,7
"S01003183",87000,12
"S01003184",75500,2
"S01003185",80250,6
"S01003186",242500,10
"S01003187",165000,13
"S01003188",77500,12
"S01003189",57000,13
"S01003190",70000,6
"S01003191",75000,1
"S01003192",50000,6
"S01003193",204995,56
"S01003194",69500,4
"S01003195",166000,5
"S01003196",325000,15
"S01003197",120000,12
"S01003198",65000,3
"S01003199",125000,15
"S01003200",96750,10
"S01003201",42000,1
"S01003202",140000,12
"S01003203",92750,10
"S01003204",75000,5
"S01003205",85125,8
"S01003206",70000,5
"S01003207",132250,12
"S01003208",109995,35
"S01003209",91000,7
"S01003210",225000,15
"S01003211",145000,7
"S01003212",145000,4
"S01003213",95000,3
"S01003214",80000,5
"S01003215",104750,11
"S01003216",104000,7
"S01003217",79000,2
"S01003218",69500,8
"S01003219",92500,6
"S01003220",155000,3
"S01003221",82500,1
"S01003222",118755,12
"S01003223",53600,2
"S01003224",151500,6
"S01003225",145000,11
"S01003226",57500,3
"S01003227",1e+05,15
"S01003228",96250,12
"S01003229",368000,20
"S01003230",147500,12
"S01003231",85600,18
"S01003232",97000,1
"S01003233",177500,10
"S01003234",225000,15
"S01003235",132000,3
"S01003236",149500,4
"S01003237",79000,6
"S01003238",85000,5
"S01003239",75000,9
"S01003240",73500,8
"S01003241",115000,3
"S01003242",1e+05,8
"S01003243",85500,5
"S01003244",85000,3
"S01003245",128500,2
"S01003246",105000,4
"S01003247",78000,4
"S01003248",60000,7
"S01003249",65000,7
"S01003250",145786,5
"S01003251",60000,4
"S01003252",130000,4
"S01003253",82995,22
"S01003254",43000,1
"S01003255",83751,12
"S01003256",99000,29
"S01003257",176000,12
"S01003258",158000,3
"S01003259",109000,9
"S01003260",245000,9
"S01003261",177250,8
"S01003262",67000,3
"S01003263",93750,4
"S01003264",105000,8
"S01003265",95000,7
"S01003266",89995,9
"S01003267",83100,12
"S01003268",115000,32
"S01003269",66000,6
"S01003270",63500,1
"S01003271",98000,54
"S01003272",120000,23
"S01003273",65000,3
"S01003275",79500,6
"S01003276",181000,4
"S01003277",67000,6
"S01003278",81000,8
"S01003280",335000,11
"S01003281",43500,5
"S01003282",81000,1
"S01003283",90000,3
"S01003284",82000,13
"S01003285",115000,7
"S01003286",70000,9
"S01003287",73139,1
"S01003288",135000,5
"S01003289",67500,5
"S01003290",67500,12
"S01003291",81500,4
"S01003292",142500,1
"S01003293",60000,3
"S01003294",74500,5
"S01003295",124748,6
"S01003296",30000,3
"S01003297",120000,3
"S01003298",74000,19
"S01003299",72000,1
"S01003300",90000,12
"S01003301",72125,4
"S01003302",82511,1
"S01003303",137500,69
"S01003304",77500,14
"S01003305",73000,7
"S01003306",85000,9
"S01003307",81250,2
"S01003308",70000,5
"S01003309",36500,7
"S01003310",83500,5
"S01003311",119000,4
"S01003312",71500,2
"S01003313",87000,6
"S01003314",85000,13
"S01003315",109975,6
"S01003316",63000,7
"S01003317",67500,6
"S01003318",125000,5
"S01003320",88250,10
"S01003321",93000,5
"S01003322",40000,9
"S01003323",137500,7
"S01003324",70500,3
"S01003325",76248,10
"S01003326",72000,5
"S01003327",72700,6
"S01003328",133000,41
"S01003329",72750,10
"S01003330",167500,7
"S01003331",62000,6
"S01003332",67500,1
"S01003333",73508,14
"S01003334",87000,6
"S01003335",150000,29
"S01003336",63750,2
"S01003337",159995,16
"S01003338",87500,7
"S01003339",79000,3
"S01003340",75000,9
"S01003341",140000,6
"S01003342",90000,3
"S01003344",140000,9
"S01003345",81000,8
"S01003346",78000,9
"S01003348",115000,19
"S01003349",130000,10
"S01003350",123000,9
"S01003351",70000,21
"S01003352",85000,5
"S01003353",63000,5
"S01003354",51250,4
"S01003355",80000,8
"S01003356",65000,5
"S01003357",75000,3
"S01003358",164000,85
"S01003359",117000,8
"S01003360",112000,4
"S01003361",72500,4
"S01003362",90000,8
"S01003363",80500,3
"S01003364",37000,4
"S01003365",58750,2
"S01003366",106000,13
"S01003367",67500,4
"S01003368",137000,25
"S01003369",42500,3
"S01003370",96498,10
"S01003371",84500,10
"S01003372",91500,4
"S01003373",135100,93
"S01003375",81500,6
"S01003376",50000,3
"S01003377",40000,2
"S01003378",63000,3
"S01003380",94000,16
"S01003381",85750,6
"S01003382",165000,16
"S01003383",88500,8
"S01003384",101000,4
"S01003385",112639,26
"S01003386",80000,7
"S01003387",73300,7
"S01003388",58750,6
"S01003389",56000,13
"S01003390",96500,4
"S01003391",90011,7
"S01003392",90750,14
"S01003393",50588,6
"S01003394",30000,5
"S01003395",96000,12
"S01003396",105000,3
"S01003398",50000,12
"S01003399",131250,18
"S01003400",88250,6
"S01003401",44000,2
"S01003403",112000,17
"S01003405",74995,5
"S01003406",95000,10
"S01003407",77500,10
"S01003408",124750,5
"S01003409",118875,22
"S01003410",117500,69
"S01003411",120000,3
"S01003412",75000,8
"S01003413",86250,4
"S01003415",60000,3
"S01003416",110001,4
"S01003417",118000,15
"S01003418",59500,6
"S01003421",91000,2
"S01003422",68000,1
"S01003423",1e+05,14
"S01003424",59000,3
"S01003425",177500,8
"S01003426",95500,18
"S01003427",63750,8
"S01003429",165250,17
"S01003430",125000,15
"S01003431",79000,12
"S01003432",224750,6
"S01003433",80000,14
"S01003434",57950,3
"S01003436",73750,4
"S01003437",235000,17
"S01003438",145000,33
"S01003439",150000,9
"S01003440",58500,3
"S01003441",54000,7
"S01003443",36500,1
"S01003444",37000,1
"S01003445",120000,3
"S01003446",120500,10
"S01003447",71250,5
"S01003448",85000,11
"S01003449",119500,11
"S01003450",115600,25
"S01003451",145000,9
"S01003452",75500,6
"S01003453",228000,39
"S01003458",97500,4
"S01003459",46500,7
"S01003460",175000,42
"S01003461",95500,9
"S01003462",58500,2
"S01003464",162500,4
"S01003465",160225,39
"S01003466",170000,16
"S01003467",61750,4
"S01003468",151000,8
"S01003469",116250,14
"S01003470",115000,21
"S01003471",51050,3
"S01003473",85000,8
"S01003474",284500,4
"S01003475",128750,10
"S01003476",102500,8
"S01003477",103000,25
"S01003478",143500,14
"S01003479",143378,15
"S01003480",107500,18
"S01003481",149000,13
"S01003482",117750,4
"S01003483",81000,4
"S01003484",220000,15
"S01003485",160250,13
"S01003486",225000,1
"S01003487",155069,12
"S01003488",60000,7
"S01003489",83500,11
"S01003490",115000,5
"S01003492",123000,13
"S01003493",91000,7
"S01003494",130000,7
"S01003495",88500,10
"S01003496",153500,22
"S01003497",245000,13
"S01003498",168000,16
"S01003499",114000,17
"S01003501",147000,11
"S01003502",175000,25
"S01003503",208500,12
"S01003504",239950,15
"S01003506",138000,24
"S01003507",116100,8
"S01003508",132500,6
"S01003509",287026,26
"S01003510",85000,3
"S01003511",249500,31
"S01003512",50000,5
"S01003513",242000,11
"S01003514",250000,7
"S01003515",88000,1
"S01003516",140000,12
"S01003517",97995,24
"S01003518",75250,6
"S01003519",122500,4
"S01003520",159566,13
"S01003521",190251,8
"S01003522",232500,26
"S01003523",60000,2
"S01003524",216000,20
"S01003525",155000,37
"S01003526",229000,20
"S01003527",339250,10
"S01003528",104475,2
"S01003529",127500,11
"S01003530",190000,25
"S01003531",81000,9
"S01003532",286000,21
"S01003534",90000,7
"S01003535",73750,10
"S01003536",249000,26
"S01003537",137000,7
"S01003538",63000,3
"S01003539",180000,25
"S01003540",59850,1
"S01003542",270000,23
"S01003544",250000,11
"S01003545",250000,19
"S01003546",97000,3
"S01003547",165000,19
"S01003549",40000,3
"S01003550",115000,7
"S01003551",39500,3
"S01003552",234000,33
"S01003554",252250,18
"S01003555",243680,17
"S01003556",274000,11
"S01003558",253000,30
"S01003559",127495,26
"S01003560",190000,35
"S01003561",87750,4
"S01003562",77500,5
"S01003563",75000,3
"S01003564",55000,2
"S01003565",79995,1
"S01003566",150000,10
"S01003567",105000,1
"S01003568",252500,16
"S01003569",167500,12
"S01003570",249950,8
"S01003571",72000,5
"S01003572",58000,11
"S01003573",85084,12
"S01003574",205000,18
"S01003575",85000,7
"S01003576",2e+05,13
"S01003577",92500,4
"S01003578",75000,3
"S01003580",66825,6
"S01003581",90268,13
"S01003583",105750,2
"S01003585",120000,13
"S01003586",114000,3
"S01003587",355000,9
"S01003588",69000,7
"S01003589",195000,15
"S01003590",63500,7
"S01003591",173842,12
"S01003592",103000,7
"S01003593",87000,8
"S01003594",227500,19
"S01003595",122000,3
"S01003596",72000,4
"S01003597",236111,10
"S01003598",85000,3
"S01003599",90000,10
"S01003600",70000,5
"S01003601",70500,4
"S01003602",107000,2
"S01003603",140000,3
"S01003604",132500,8
"S01003605",203748,4
"S01003606",80000,8
"S01003607",120000,5
"S01003608",77000,2
"S01003609",184003,16
"S01003610",89000,7
"S01003611",72000,1
"S01003612",187980,28
"S01003613",275000,80
"S01003614",422500,6
"S01003615",120000,5
"S01003616",140000,9
"S01003618",135000,9
"S01003619",68000,3
"S01003620",167500,42
"S01003621",72750,8
"S01003622",105250,6
"S01003623",2e+05,9
"S01003624",90250,8
"S01003625",101248,4
"S01003626",121500,7
"S01003627",61475,2
"S01003629",65000,5
"S01003630",107000,3
"S01003631",157000,19
"S01003632",220000,16
"S01003633",120000,17
"S01003634",87500,4
"S01003635",76000,6
"S01003636",74000,8
"S01003637",127750,14
"S01003638",155000,37
"S01003639",86000,4
"S01003640",59000,12
"S01003641",165500,12
"S01003642",131500,14
"S01003643",108500,6
"S01003644",114500,8
"S01003645",127100,4
"S01003647",94000,11
"S01003648",125000,22
"S01003649",106250,4
"S01003650",83000,5
"S01003651",110000,7
"S01003652",85000,5
"S01003653",78000,3
"S01003654",133250,6
"S01003655",58550,2
"S01003656",89950,41
"S01003657",87000,5
"S01003658",109500,6
"S01003659",1e+05,22
"S01003660",172500,9
"S01003661",113500,13
"S01003662",106000,1
"S01003664",64250,2
"S01003666",75000,2
"S01003667",106975,6
"S01003668",120000,9
"S01003669",1e+05,13
"S01003670",55475,2
"S01003671",115000,6
"S01003672",50000,3
"S01003673",50000,1
"S01003674",100500,7
"S01003675",150000,29
"S01003676",125000,45
"S01003677",74000,7
"S01003678",122500,1
"S01003679",122000,9
"S01003680",1e+05,3
"S01003681",98000,5
"S01003682",123000,8
"S01003683",124757,11
"S01003684",139000,9
"S01003685",95500,4
"S01003686",75000,7
"S01003687",88000,1
"S01003688",73000,3
"S01003689",86500,1
"S01003690",96750,2
"S01003691",125000,7
"S01003692",95000,11
"S01003693",108000,3
"S01003694",125000,7
"S01003695",93500,7
"S01003696",97500,9
"S01003697",180723,12
"S01003698",120000,9
"S01003699",122500,9
"S01003700",71500,8
"S01003701",68000,6
"S01003702",60250,2
"S01003703",85665,13
"S01003704",60000,3
"S01003706",46800,1
"S01003709",49000,4
"S01003710",250000,28
"S01003711",71000,1
"S01003712",76500,8
"S01003713",53500,1
"S01003714",1e+05,5
"S01003715",119998,8
"S01003717",79000,3
"S01003718",117000,3
"S01003719",265500,14
"S01003720",160000,5
"S01003721",127250,8
"S01003722",93000,9
"S01003723",149722,6
"S01003724",120000,10
"S01003725",193050,7
"S01003726",102500,10
"S01003727",101500,4
"S01003728",180000,4
"S01003729",92500,7
"S01003730",70000,2
"S01003731",23550,1
"S01003732",125000,13
"S01003733",80000,7
"S01003734",67500,3
"S01003735",231500,10
"S01003736",123250,8
"S01003737",125000,6
"S01003738",144250,9
"S01003739",215000,13
"S01003740",225000,7
"S01003741",136250,4
"S01003742",217500,6
"S01003743",210000,13
"S01003744",125000,7
"S01003745",108750,6
"S01003746",185000,10
"S01003747",167000,28
"S01003748",287000,11
"S01003749",162500,13
"S01003750",250000,11
"S01003751",175000,18
"S01003752",115000,16
"S01003753",230000,17
"S01003754",142000,9
"S01003755",183000,40
"S01003756",3e+05,17
"S01003757",160000,10
"S01003758",178500,16
"S01003759",190000,11
"S01003760",216500,12
"S01003761",180000,15
"S01003762",180000,7
"S01003763",97500,6
"S01003764",161500,12
"S01003765",130000,3
"S01003766",192500,15
"S01003767",155000,5
"S01003768",400,5
"S01003769",132500,7
"S01003770",188500,8
"S01003771",195000,9
"S01003772",232500,4
"S01003773",172050,10
"S01003774",185000,5
"S01003775",160000,11
"S01003776",155000,5
"S01003777",199000,15
"S01003778",182995,67
"S01003779",161100,7
"S01003780",245250,12
"S01003781",150000,20
"S01003782",273750,6
"S01003783",192500,30
"S01003784",227000,20
"S01003785",157500,8
"S01003786",162000,11
"S01003787",165500,10
"S01003788",162000,7
"S01003789",236000,13
"S01003790",125000,3
"S01003791",137250,20
"S01003792",170000,37
"S01003793",102750,4
"S01003794",145000,5
"S01003795",281000,6
"S01003796",85000,3
"S01003797",115000,12
"S01003798",208000,13
"S01003799",148000,11
"S01003800",91330,3
"S01003801",114000,5
"S01003802",130000,13
"S01003803",262500,8
"S01003804",113750,8
"S01003805",102000,18
"S01003806",120000,7
"S01003807",150000,7
"S01003808",149000,16
"S01003809",131000,7
"S01003810",210000,9
"S01003811",155000,5
"S01003812",118000,15
"S01003813",160000,12
"S01003814",195000,12
"S01003815",132000,13
"S01003816",128800,15
"S01003817",116000,9
"S01003818",138000,5
"S01003819",189500,33
"S01003820",124000,23
"S01003821",120000,14
"S01003822",125000,7
"S01003823",180150,13
"S01003824",147500,7
"S01003825",180000,3
"S01003826",146750,6
"S01003827",166000,16
"S01003828",182500,15
"S01003829",110000,9
"S01003830",109500,6
"S01003831",132500,10
"S01003832",153000,12
"S01003833",115000,9
"S01003834",130000,7
"S01003835",116750,16
"S01003836",103500,10
"S01003837",105000,7
"S01003838",139000,2
"S01003839",94000,4
"S01003840",103500,10
"S01003841",157500,16
"S01003842",168000,7
"S01003843",225000,14
"S01003844",156000,8
"S01003845",88000,10
"S01003846",205000,9
"S01003847",170000,7
"S01003848",132500,8
"S01003849",75525,4
"S01003850",125000,13
"S01003851",160000,11
"S01003852",140000,6
"S01003853",105000,29
"S01003854",124500,4
"S01003855",77500,6
"S01003856",115000,10
"S01003857",220000,10
"S01003858",121500,6
"S01003859",178000,9
"S01003860",86250,2
"S01003861",110000,7
"S01003862",73000,1
"S01003863",217500,6
"S01003864",193750,8
"S01003865",191000,7
"S01003866",109000,12
"S01003867",189950,22
"S01003868",238000,3
"S01003869",185000,12
"S01003870",110000,13
"S01003871",151500,20
"S01003872",195000,5
"S01003873",176000,14
"S01003874",161500,6
"S01003875",182500,8
"S01003876",214750,6
"S01003877",249000,3
"S01003878",110000,11
"S01003879",150777,7
"S01003880",132500,6
"S01003881",140000,5
"S01003882",115000,3
"S01003883",147000,9
