"datazone","median_price","number_of_sales"
"S01000391",134500,12
"S01000392",215250,22
"S01000393",238000,9
"S01000394",133250,8
"S01000395",187000,14
"S01000396",142000,13
"S01000397",206106,8
"S01000398",307500,50
"S01000399",131778,10
"S01000400",175000,13
"S01000401",337500,7
"S01000402",180000,13
"S01000403",140000,13
"S01000404",151500,10
"S01000405",377500,2
"S01000406",140000,7
"S01000407",112750,10
"S01000408",196500,14
"S01000409",180255,11
"S01000410",340000,9
"S01000411",284628,10
"S01000412",325000,7
"S01000413",193000,7
"S01000414",240000,18
"S01000415",175000,19
"S01000416",181500,12
"S01000417",215000,20
"S01000418",116000,4
"S01000419",247500,36
"S01000420",231748,31
"S01000421",250000,13
"S01000422",173540,16
"S01000423",437000,9
"S01000424",171500,14
"S01000425",207500,9
"S01000426",323750,6
"S01000427",116000,22
"S01000428",115000,5
"S01000429",151300,17
"S01000430",180000,7
"S01000431",113500,4
"S01000432",156010,11
"S01000433",4e+05,1
"S01000434",135500,8
"S01000435",152500,10
"S01000436",165000,13
"S01000437",124625,9
"S01000438",225000,5
"S01000439",363000,5
"S01000440",222475,16
"S01000441",177500,15
"S01000442",240250,12
"S01000443",2e+05,6
"S01000444",237500,56
"S01000445",192500,17
"S01000446",122559,16
"S01000447",215000,4
"S01000448",189950,27
"S01000449",210000,12
"S01000450",130000,10
"S01000451",249975,8
"S01000452",205000,4
"S01000453",130000,7
"S01000454",215000,4
"S01000455",215000,6
"S01000456",210000,20
"S01000457",190000,9
"S01000458",187500,10
"S01000459",130750,12
"S01000460",129250,6
"S01000461",78000,29
"S01000462",121000,13
"S01000463",143000,7
"S01000464",216000,7
"S01000465",150000,10
"S01000466",175000,5
"S01000467",84000,7
"S01000468",178500,4
"S01000469",164000,5
"S01000470",126500,8
"S01000471",183900,27
"S01000472",98000,8
"S01000473",91500,8
"S01000474",178875,4
"S01000475",107500,7
"S01000476",249000,5
"S01000477",125000,11
"S01000478",106000,8
"S01000479",97667,6
"S01000480",149250,6
"S01000481",191838,34
"S01000482",77500,10
"S01000483",93000,15
"S01000484",80000,15
"S01000485",142500,12
"S01000486",75000,13
"S01000487",114500,10
"S01000488",119550,2
"S01000489",78000,9
"S01000490",106500,14
"S01000491",77000,5
"S01000492",80000,5
"S01000493",105750,10
"S01000494",83600,8
"S01000495",156500,6
"S01000496",171250,4
"S01000497",112500,14
"S01000498",141500,10
"S01000499",140000,19
"S01000500",112500,6
"S01000501",124500,2
"S01000502",190000,1
"S01000503",154576,6
"S01000504",122500,24
"S01000505",167000,5
"S01000506",205000,17
"S01000507",110000,7
"S01000508",199000,10
"S01000509",118150,17
"S01000510",87000,7
"S01000511",191375,2
"S01000512",152000,13
"S01000513",207000,4
"S01000514",175000,13
"S01000515",245000,3
"S01000516",191500,8
"S01000517",116500,4
"S01000518",115750,18
"S01000519",222500,4
"S01000520",108500,10
"S01000521",37750,6
"S01000522",137250,10
"S01000523",177500,6
"S01000524",110000,3
"S01000525",167500,10
"S01000526",182000,5
"S01000527",210000,5
"S01000528",216500,6
"S01000529",192000,5
"S01000530",207000,7
"S01000531",162500,3
"S01000532",207500,10
"S01000533",125000,11
"S01000534",96000,7
"S01000535",100750,8
"S01000536",120000,5
"S01000537",168000,5
"S01000538",99000,7
"S01000539",75000,17
"S01000540",125000,8
"S01000541",132000,3
"S01000542",92000,5
"S01000543",132000,4
"S01000544",115000,13
"S01000545",81500,10
"S01000546",133500,4
"S01000547",97475,10
"S01000548",150000,11
"S01000549",178000,13
"S01000550",189500,5
"S01000551",150500,12
"S01000552",250000,1
"S01000553",153289,6
"S01000554",89000,6
"S01000555",103500,10
"S01000556",91075,4
"S01000557",98000,9
"S01000558",108000,9
"S01000559",90000,17
"S01000560",78000,5
"S01000561",78750,15
"S01000562",106000,11
"S01000563",48294,16
"S01000564",76500,6
"S01000565",164000,4
"S01000566",93000,13
"S01000567",55100,9
"S01000568",114000,5
"S01000569",142440,12
"S01000570",108500,9
"S01000571",101000,22
"S01000572",160000,7
"S01000573",175000,7
"S01000574",125000,9
"S01000575",161000,10
"S01000576",199500,18
"S01000577",168000,7
"S01000578",122000,11
"S01000579",257500,8
"S01000580",241000,11
"S01000581",180500,6
"S01000582",114000,9
"S01000583",157500,19
"S01000584",140000,17
"S01000585",117500,16
"S01000586",140000,5
"S01000587",112500,4
"S01000588",117000,6
"S01000589",145000,7
"S01000590",180000,9
"S01000591",165000,7
"S01000592",127500,7
"S01000593",2e+05,13
"S01000594",227500,16
"S01000595",152000,5
"S01000596",170000,9
"S01000597",162000,11
"S01000598",215000,11
"S01000599",342500,14
"S01000600",144000,8
"S01000601",249995,13
"S01000602",170000,8
"S01000603",196250,6
"S01000604",163500,5
"S01000605",140000,12
"S01000606",60883,10
"S01000607",165000,7
"S01000608",84500,16
"S01000609",85000,7
"S01000610",69000,10
"S01000611",71500,8
"S01000612",75000,19
"S01000613",97250,16
"S01000614",111000,10
"S01000615",167500,12
"S01000616",180000,12
"S01000617",117250,6
"S01000618",158000,9
"S01000619",136000,6
"S01000620",87500,5
"S01000621",85000,21
"S01000622",83250,2
"S01000623",89000,11
"S01000624",89000,3
"S01000625",75000,5
"S01000626",80063,4
"S01000627",82000,7
"S01000628",68000,1
"S01000629",155000,7
"S01000630",92500,4
"S01000631",73015,6
"S01000632",243750,2
"S01000633",110000,10
"S01000634",88000,3
"S01000635",108000,7
"S01000637",210000,3
"S01000638",320000,9
"S01000639",138000,3
"S01000640",165000,4
"S01000641",155000,7
"S01000642",157019,8
"S01000643",170000,10
"S01000644",138750,14
"S01000645",235000,11
"S01000646",155000,5
"S01000647",88250,8
"S01000648",70500,2
"S01000649",215500,2
"S01000650",90000,1
"S01000651",115000,11
"S01000652",104000,5
"S01000653",88000,7
"S01000654",112000,3
"S01000655",63000,4
"S01000656",95950,24
"S01000657",97875,10
"S01000658",125000,3
"S01000659",125000,13
"S01000660",180000,7
"S01000661",76000,11
"S01000662",248000,3
"S01000663",120000,7
"S01000664",188500,7
"S01000665",132000,1
"S01000666",188000,5
"S01000667",83500,12
"S01000668",85000,3
"S01000669",120000,8
"S01000670",205000,34
"S01000671",195000,8
"S01000672",239000,13
"S01000673",160000,10
"S01000674",136500,12
"S01000675",160250,11
"S01000676",215128,2
"S01000677",50000,6
"S01000678",127475,12
"S01000679",78000,14
"S01000680",94625,8
"S01000681",85000,23
"S01000682",76000,17
"S01000683",88000,7
"S01000684",77500,8
"S01000685",124998,10
"S01000686",84000,19
"S01000687",98000,5
"S01000688",92500,8
"S01000689",279000,6
"S01000690",180000,13
"S01000691",105000,6
"S01000692",98500,5
"S01000693",77500,4
"S01000694",118750,8
"S01000695",86000,13
"S01000696",52250,7
"S01000697",180000,11
"S01000698",80000,11
"S01000699",88000,5
"S01000700",168500,10
"S01000701",208000,21
"S01000702",95000,3
"S01000703",83000,4
"S01000704",215000,8
