"datazone","lt_mean","lt_med"
"S01005790",0.611963669870907,0.618149640072094
"S01005791",0.702815880948671,0.70097138192608
"S01005792",0.628744900666962,0.599304482480851
"S01005793",1.02552743707886,0.953186235486901
"S01005794",0.782829078741501,0.69869836522158
"S01005795",0.567283531736283,0.534462803471008
"S01005796",1.07189326429056,1.06115100454026
"S01005797",1.06499121051315,1.01267153208646
"S01005798",0.603430121064569,0.597662375018403
"S01005799",0.579673161688509,0.601764896385911
"S01005800",0.694694757486388,0.599584849084173
"S01005801",0.67513364928806,0.665072195293371
"S01005802",1.21420528444561,1.13496214837258
"S01005803",0.595681326338205,0.612651720059398
"S01005804",1.23510892205691,1.25717220613946
"S01005805",1.1795399920718,1.18789893424237
"S01005806",0.593965560496995,0.546512831818421
"S01005807",0.583484736342661,0.579707644690639
"S01005808",0.553395082667502,0.559681040340144
"S01005809",0.835914558143358,0.861578336668076
"S01005810",0.67101251725011,0.658841560426799
"S01005811",0.544816763960357,0.54521316825275
"S01005812",0.843104918834756,0.801250378205176
"S01005813",0.620609411372688,0.638897368736247
"S01005814",0.628894037469183,0.585507516393742
"S01005815",0.774115264548618,0.823053952326164
"S01005816",1.09281636556119,0.935998347449806
"S01005817",0.981743485264426,0.912746437873289
"S01005818",1.08191589799806,1.02901656512574
"S01005819",0.648702591392446,0.631125331681074
"S01005820",0.558804844059259,0.539139243309929
"S01005821",0.595565769080519,0.563359608763262
"S01005822",0.579580353814318,0.559286639222129
"S01005823",1.37455242633604,1.29725235510221
"S01005824",1.0468540864659,1.00722714947869
"S01005825",0.624768792673042,0.591860015906941
"S01005826",1.00218566073485,0.962076948134299
"S01005827",0.875666621031174,0.853760646772606
"S01005828",0.589499099204856,0.538631520212366
"S01005829",0.89146997828344,0.771584533453295
"S01005830",0.62729284941739,0.60955247073803
"S01005831",1.10735374566939,0.980294712183637
"S01005832",0.700554949474114,0.657165084180856
"S01005833",0.733113931217529,0.742038446114659
"S01005834",0.660558298851389,0.653754401774966
"S01005835",0.948763204823249,0.90896453139032
"S01005836",1.2397212627884,1.14752223753486
"S01005837",0.962372855201639,0.983408045584683
"S01005838",0.607121616458239,0.560348651993476
"S01005839",0.709426779494844,0.720721847293323
"S01005840",0.663728158634763,0.664835088340898
"S01005841",0.664682589440722,0.666871075347487
"S01005842",0.808836657650819,0.826079850682347
"S01005843",0.990458193305272,0.77248847760208
"S01005844",0.679247035700793,0.642237112040856
"S01005845",1.03946306149249,1.03905370576186
"S01005846",0.558011038332444,0.491239005041715
"S01005847",0.642260357024217,0.599302474283249
"S01005848",0.495884534900488,0.502392530992454
"S01005849",0.782996251496405,0.78207639718582
"S01005850",0.627804376945014,0.520039406833534
"S01005851",0.5427400562775,0.518128030395207
"S01005852",0.604165771406703,0.568946980963911
"S01005853",0.799961054899772,0.644822473613542
"S01005854",0.602289337519434,0.600944341490416
"S01005855",0.608369203498959,0.545304883498302
"S01005856",0.606203028521016,0.599316412642771
"S01005857",0.788529219470728,0.756251125339441
"S01005858",0.539877283731413,0.535423554947106
"S01005859",0.676160762185747,0.562993445346637
"S01005860",0.636123459243772,0.613502272452698
"S01005861",1.55286693853061,1.5297393822294
"S01005862",0.629064712849468,0.590090385085467
"S01005863",1.21342617072203,1.21900123721605
"S01005864",0.587285625280921,0.56136613969815
"S01005865",0.613000761717488,0.598962617365388
"S01005866",0.907573860100509,0.823291986975618
"S01005867",0.728618202976889,0.69585421331917
"S01005868",1.26629406159199,1.10219590679695
"S01005869",0.496937714776699,0.495044329090063
"S01005870",0.812853554651911,0.663108095949863
"S01005871",0.668934258576897,0.586474622848776
"S01005872",0.769865722760342,0.729822888447247
"S01005873",0.667470491024607,0.627843576059518
"S01005874",0.503174567585412,0.504421258616457
"S01005875",0.879930050363408,0.787207459650151
"S01005876",1.19881885169928,1.14137926215171
"S01005877",0.741402723882231,0.678901471303479
"S01005878",0.689360470512422,0.669080697755973
"S01005879",0.748849932628282,0.737966446209836
"S01005880",0.615102574781048,0.632284670189271
"S01005881",0.628823658465704,0.617653303570303
"S01005882",2.3319377824127,2.23194352862133
"S01005883",0.660118917434888,0.63720153054981
"S01005884",0.969579266340726,0.924658555096739
"S01005885",1.03278479120942,1.01849701333658
"S01005886",1.03831446922604,0.993481706801059
"S01005887",0.589670319394697,0.533145904012529
"S01005888",0.749511076397358,0.669043559248077
"S01005889",0.773954724694818,0.739583792334905
"S01005890",0.841866126858677,0.778653618610905
"S01005891",0.478013517823383,0.476787658271409
"S01005892",0.577872846414738,0.478710335533248
"S01005893",0.598278481247989,0.561134097083973
"S01005894",0.823481683643131,0.722503894199986
"S01005895",1.14572648805638,0.993615808156541
"S01005896",1.10233188033854,1.06968108427419
"S01005897",0.829461933182022,0.696578385170722
"S01005898",0.928033168299632,0.850658046070909
"S01005899",0.613258951759066,0.539376170521201
"S01005900",1.09958054050888,1.05018350937223
"S01005901",1.37884957220566,1.1174753260843
"S01005902",1.77628919249146,1.61842728274021
"S01005903",0.742197010227072,0.625350653085626
"S01005904",0.761166858286938,0.733973572003145
"S01005905",0.813439991865936,0.732670159191063
"S01005906",0.741811540248511,0.75006160565019
"S01005907",0.665728233163134,0.601473183789082
"S01005908",0.784335347864162,0.727447986190883
"S01005909",1.05065345837633,0.84398609877405
"S01005910",1.41663168119377,1.30283987773845
"S01005911",1.04704247984262,0.84074580754669
"S01005912",0.878105673195728,0.762647854303127
"S01005913",0.462131102447673,0.448700729535025
"S01005914",0.779925712198229,0.630586938390729
"S01005915",0.638678258121837,0.624505464713532
"S01005916",1.83431843219321,1.79348086869739
"S01005917",0.443895309490926,0.437735601881959
"S01005918",0.693702758533629,0.63840202657921
"S01005919",1.23367654196759,1.23167387638699
"S01005920",0.631622346320892,0.623328011787368
"S01005921",0.832090426015998,0.775471743462234
"S01005922",0.677035413898418,0.672442057730396
"S01005923",0.596169650149175,0.582313383167519
"S01005924",1.3822310660733,1.36163072023282
"S01005925",1.28883775550918,1.16694529027009
"S01005926",1.05696881030226,0.952128752057556
"S01005927",1.21500927981661,1.18014463400542
"S01005928",0.438647628015219,0.433820924114982
"S01005929",0.877855922745232,0.817696725643779
