"","datazone","local_authority"
"198","S01003142","Glasgow City"
"199","S01003584","Glasgow City"
"200","S01003351","Glasgow City"
"201","S01003590","Glasgow City"
"202","S01003032","Glasgow City"
"203","S01003621","Glasgow City"
"204","S01003030","Glasgow City"
"205","S01003713","Glasgow City"
"206","S01003655","Glasgow City"
"207","S01003654","Glasgow City"
"208","S01003349","Glasgow City"
"209","S01003248","Glasgow City"
"210","S01003072","Glasgow City"
"211","S01003679","Glasgow City"
"212","S01003247","Glasgow City"
"213","S01003373","Glasgow City"
"214","S01003624","Glasgow City"
"215","S01003523","Glasgow City"
"216","S01003551","Glasgow City"
"217","S01003326","Glasgow City"
"218","S01003362","Glasgow City"
"219","S01003361","Glasgow City"
"220","S01003346","Glasgow City"
"221","S01003573","Glasgow City"
"222","S01003442","Glasgow City"
"223","S01003237","Glasgow City"
"224","S01003040","Glasgow City"
"225","S01003039","Glasgow City"
"226","S01003467","Glasgow City"
"227","S01003664","Glasgow City"
"228","S01003093","Glasgow City"
"229","S01003198","Glasgow City"
"230","S01003518","Glasgow City"
"231","S01003427","Glasgow City"
"232","S01003281","Glasgow City"
"233","S01003340","Glasgow City"
"234","S01003290","Glasgow City"
"235","S01003703","Glasgow City"
"236","S01003656","Glasgow City"
"237","S01003578","Glasgow City"
"238","S01003561","Glasgow City"
"239","S01003628","Glasgow City"
"240","S01003592","Glasgow City"
"241","S01003267","Glasgow City"
"242","S01003175","Glasgow City"
"243","S01003538","Glasgow City"
"244","S01003104","Glasgow City"
"245","S01003585","Glasgow City"
"246","S01003384","Glasgow City"
"247","S01003363","Glasgow City"
"248","S01003571","Glasgow City"
"249","S01003412","Glasgow City"
"250","S01003420","Glasgow City"
"251","S01003365","Glasgow City"
"252","S01003378","Glasgow City"
"253","S01003394","Glasgow City"
"254","S01003159","Glasgow City"
"255","S01003377","Glasgow City"
"256","S01003577","Glasgow City"
"257","S01003652","Glasgow City"
"258","S01003440","Glasgow City"
"259","S01003204","Glasgow City"
"260","S01003575","Glasgow City"
"261","S01003400","Glasgow City"
"262","S01003162","Glasgow City"
"263","S01003393","Glasgow City"
"264","S01003677","Glasgow City"
"265","S01003228","Glasgow City"
"266","S01003332","Glasgow City"
"267","S01003289","Glasgow City"
"268","S01003132","Glasgow City"
