"datazone","Y2005Q1.price","Y2005Q2.price","Y2005Q3.price","Y2005Q4.price","Y2006Q1.price","Y2006Q2.price","Y2006Q3.price","Y2006Q4.price","Y2007Q1.price","Y2007Q2.price","Y2007Q3.price","Y2007Q4.price","Y2008Q1.price","Y2008Q2.price","Y2008Q3.price","Y2008Q4.price","Y2009Q1.price","Y2009Q2.price","Y2009Q3.price","Y2009Q4.price"
"S01003058",11.2713726947419,11.3059162468435,11.3121603432591,11.318467137176,11.382313769574,11.4168573216757,11.4231014180912,11.4294082120082,11.4898753972646,11.5244189493663,11.5306630457818,11.5369698396988,11.4523267108872,11.4868702629888,11.4931143594044,11.4994211533213,11.36485131363,11.3993948657316,11.4056389621472,11.4119457560641
"S01003059",11.6171264690521,11.6380295695289,11.6305579513713,11.651392201469,11.7137215836807,11.7346246841574,11.7271530659998,11.7479873160975,11.8045708033652,11.825473903842,11.8180022856844,11.8388365357821,11.7562683242372,11.7771714247139,11.7696998065563,11.790534056654,11.6493912945347,11.6702943950114,11.6628227768538,11.6836570269515
"S01003060",11.4681503319435,11.4991885181976,11.4872935625207,11.503940119695,11.5481405391116,11.5791787253657,11.5672837696888,11.5839303268631,11.6456021514015,11.6766403376557,11.6647453819788,11.681391939153,11.6454370157225,11.6764752019766,11.6645802462997,11.681226803474,11.5226365066444,11.5536746928985,11.5417797372216,11.5584262943958
"S01003061",11.6453242719788,11.6666311514226,11.6506646648155,11.6763748968983,11.7262710064681,11.7478566703658,11.7318901837588,11.757326888537,11.8217515919485,11.8433056280374,11.8273391414303,11.8528074740174,11.7997360603798,11.8210429398236,11.8050764532165,11.8307866852993,11.6636465114947,11.6849533909384,11.6689869043314,11.6946971364142
"S01003062",11.2728166709415,11.307320195581,11.313505732247,11.3199510366179,11.3837394610201,11.4182429856597,11.4244285223256,11.4308738266966,11.4911959118516,11.5256994364911,11.5318849731571,11.538330277528,11.4536460176847,11.4881495423243,11.4943350789902,11.5007803833611,11.3660324250186,11.4005359496581,11.4067214863241,11.413166790695
"S01003063",11.5366418690124,11.566592883833,11.5575378307049,11.5728411373964,11.6145304596218,11.6444814744425,11.6354264213144,11.6507297280058,11.7088112395531,11.7387622543737,11.7297072012456,11.7450105079371,11.7115320084214,11.741483023242,11.7324279701139,11.7477312768054,11.5782575794469,11.6082085942676,11.5991535411395,11.6144568478309
"S01003064",11.3573336445176,11.3890413988297,11.3940258684117,11.4073494997707,11.4699589031392,11.5016666574513,11.5066511270333,11.5199747583923,11.5714515909741,11.6031593452862,11.6081438148682,11.6214674462272,11.5317204230613,11.5634281773735,11.5684126469554,11.5817362783144,11.4369819658515,11.4686897201636,11.4736741897456,11.4869978211046
"S01003065",11.6406192676008,11.6594145208273,11.6497756676612,11.6729724673786,11.7354591056121,11.7542543588386,11.7446155056725,11.7678123053898,11.8279779789755,11.846773232202,11.837134379036,11.8603311787533,11.779342500323,11.7981377535495,11.7884989003835,11.8116957001008,11.6679831185371,11.6867783717636,11.6771395185975,11.7003363183149
"S01003066",11.65955787055,11.6757275162139,11.6626582490119,11.6897186140229,11.7498933631536,11.7659512686245,11.7522223024047,11.7798407324684,11.8457282498902,11.8617861553611,11.8480571891413,11.875675619205,11.801182266882,11.8173519125458,11.8044812567301,11.8313430103548,11.6797620220914,11.6958199275622,11.6820909613424,11.7097093914062
"S01003067",11.6436691827106,11.666431912221,11.6509348419858,11.675037587526,11.723110272812,11.7458730023225,11.7303759320873,11.7544786776275,11.8184781853052,11.8412409148156,11.8257438445804,11.8498465901206,11.7993472193049,11.8221099488153,11.8066128785801,11.8307156241203,11.6623679506532,11.6851306801636,11.6696336099285,11.6937363554686
